size_key,width_mm,aspect_ratio,rim_diameter_in,approved_rim_width_in,rim_contour,series,source_page
375_20_R21,375,20,21,13,J,20,P.43
375_20_R21,375,20,21,13.5,J,20,P.43
375_20_R21,375,20,21,14,J,20,P.43
255_25_R22,255,25,22,9,J,25,P.42
275_25_R20,275,25,20,10,J,25,P.42
275_25_R21,275,25,21,10,J,25,P.42
275_25_R22,275,25,22,10,J,25,P.42
275_25_R24,275,25,24,10,J,25,P.42
285_25_R20,285,25,20,10.5,J,25,P.42
285_25_R22,285,25,22,10.5,J,25,P.42
285_25_R24,285,25,24,10.5,J,25,P.42
295_25_R19,295,25,19,10,J,25,P.42
295_25_R19,295,25,19,10.5,J,25,P.42
295_25_R19,295,25,19,11,J,25,P.42
295_25_R20,295,25,20,10,J,25,P.42
295_25_R20,295,25,20,10.5,J,25,P.42
295_25_R20,295,25,20,11,J,25,P.42
295_25_R21,295,25,21,10,J,25,P.42
295_25_R21,295,25,21,10.5,J,25,P.42
295_25_R21,295,25,21,11,J,25,P.42
295_25_R22,295,25,22,10,J,25,P.42
295_25_R22,295,25,22,10.5,J,25,P.42
295_25_R22,295,25,22,11,J,25,P.42
295_25_R23,295,25,23,10,J,25,P.42
295_25_R23,295,25,23,10.5,J,25,P.42
295_25_R23,295,25,23,11,J,25,P.42
295_25_R26,295,25,26,10,J,25,P.42
295_25_R26,295,25,26,10.5,J,25,P.42
295_25_R26,295,25,26,11,J,25,P.42
295_25_R28,295,25,28,10,J,25,P.42
295_25_R28,295,25,28,10.5,J,25,P.42
295_25_R28,295,25,28,11,J,25,P.42
305_25_R19,305,25,19,10.5,J,25,P.42
305_25_R19,305,25,19,11,J,25,P.42
305_25_R19,305,25,19,11.5,J,25,P.42
305_25_R20,305,25,20,10.5,J,25,P.42
305_25_R20,305,25,20,11,J,25,P.42
305_25_R20,305,25,20,11.5,J,25,P.42
305_25_R21,305,25,21,10.5,J,25,P.42
305_25_R21,305,25,21,11,J,25,P.42
305_25_R21,305,25,21,11.5,J,25,P.42
305_25_R22,305,25,22,10.5,J,25,P.42
305_25_R22,305,25,22,11,J,25,P.42
305_25_R22,305,25,22,11.5,J,25,P.42
305_25_R23,305,25,23,10.5,J,25,P.42
305_25_R23,305,25,23,11,J,25,P.42
305_25_R23,305,25,23,11.5,J,25,P.42
305_25_R26,305,25,26,10.5,J,25,P.42
305_25_R26,305,25,26,11,J,25,P.42
305_25_R26,305,25,26,11.5,J,25,P.42
315_25_R19,315,25,19,11,J,25,P.42
315_25_R19,315,25,19,11.5,J,25,P.42
315_25_R19,315,25,19,12,J,25,P.42
315_25_R20,315,25,20,11,J,25,P.42
315_25_R20,315,25,20,11.5,J,25,P.42
315_25_R20,315,25,20,12,J,25,P.42
315_25_R22,315,25,22,11,J,25,P.42
315_25_R22,315,25,22,11.5,J,25,P.42
315_25_R22,315,25,22,12,J,25,P.42
315_25_R23,315,25,23,11,J,25,P.42
315_25_R23,315,25,23,11.5,J,25,P.42
315_25_R23,315,25,23,12,J,25,P.42
325_25_R20,325,25,20,11.5,J,25,P.42
325_25_R20,325,25,20,12,J,25,P.42
325_25_R20,325,25,20,12.5,J,25,P.42
325_25_R21,325,25,21,11.5,J,25,P.42
325_25_R21,325,25,21,12,J,25,P.42
325_25_R21,325,25,21,12.5,J,25,P.42
335_25_R19,335,25,19,11.5,J,25,P.42
335_25_R19,335,25,19,12,J,25,P.42
335_25_R19,335,25,19,12.5,J,25,P.42
335_25_R20,335,25,20,11.5,J,25,P.42
335_25_R20,335,25,20,12,J,25,P.42
335_25_R20,335,25,20,12.5,J,25,P.42
335_25_R22,335,25,22,11.5,J,25,P.42
335_25_R22,335,25,22,12,J,25,P.42
335_25_R22,335,25,22,12.5,J,25,P.42
345_25_R20,345,25,20,12,J,25,P.42
345_25_R20,345,25,20,12.5,J,25,P.42
345_25_R20,345,25,20,13,J,25,P.42
345_25_R21,345,25,21,12,J,25,P.42
345_25_R21,345,25,21,12.5,J,25,P.42
345_25_R21,345,25,21,13,J,25,P.42
355_25_R19,355,25,19,12.5,J,25,P.42
355_25_R19,355,25,19,13,J,25,P.42
355_25_R19,355,25,19,13.5,J,25,P.42
355_25_R21,355,25,21,12.5,J,25,P.42
355_25_R21,355,25,21,13,J,25,P.42
355_25_R21,355,25,21,13.5,J,25,P.42
355_25_R22,355,25,22,12.5,J,25,P.42
355_25_R22,355,25,22,13,J,25,P.42
355_25_R22,355,25,22,13.5,J,25,P.42
355_25_R24,355,25,24,12.5,J,25,P.42
355_25_R24,355,25,24,13,J,25,P.42
355_25_R24,355,25,24,13.5,J,25,P.42
225_30_R18,225,30,18,8,J,30,P.41
225_30_R19,225,30,19,8,J,30,P.41
225_30_R20,225,30,20,8,J,30,P.41
235_30_R18,235,30,18,8.5,J,30,P.41
235_30_R19,235,30,19,8.5,J,30,P.41
235_30_R20,235,30,20,8.5,J,30,P.41
235_30_R22,235,30,22,8.5,J,30,P.41
245_30_R18,245,30,18,8,J,30,P.41
245_30_R18,245,30,18,8.5,J,30,P.41
245_30_R18,245,30,18,9,J,30,P.41
245_30_R19,245,30,19,8,J,30,P.41
245_30_R19,245,30,19,8.5,J,30,P.41
245_30_R19,245,30,19,9,J,30,P.41
245_30_R20,245,30,20,8,J,30,P.41
245_30_R20,245,30,20,8.5,J,30,P.41
245_30_R20,245,30,20,9,J,30,P.41
245_30_R21,245,30,21,8,J,30,P.41
245_30_R21,245,30,21,8.5,J,30,P.41
245_30_R21,245,30,21,9,J,30,P.41
245_30_R22,245,30,22,8,J,30,P.41
245_30_R22,245,30,22,8.5,J,30,P.41
245_30_R22,245,30,22,9,J,30,P.41
255_30_R18,255,30,18,8.5,J,30,P.41
255_30_R18,255,30,18,9,J,30,P.41
255_30_R18,255,30,18,9.5,J,30,P.41
255_30_R19,255,30,19,8.5,J,30,P.41
255_30_R19,255,30,19,9,J,30,P.41
255_30_R19,255,30,19,9.5,J,30,P.41
255_30_R20,255,30,20,8.5,J,30,P.41
255_30_R20,255,30,20,9,J,30,P.41
255_30_R20,255,30,20,9.5,J,30,P.41
255_30_R21,255,30,21,8.5,J,30,P.41
255_30_R21,255,30,21,9,J,30,P.41
255_30_R21,255,30,21,9.5,J,30,P.41
255_30_R22,255,30,22,8.5,J,30,P.41
255_30_R22,255,30,22,9,J,30,P.41
255_30_R22,255,30,22,9.5,J,30,P.41
255_30_R24,255,30,24,8.5,J,30,P.41
255_30_R24,255,30,24,9,J,30,P.41
255_30_R24,255,30,24,9.5,J,30,P.41
265_30_R18,265,30,18,9,J,30,P.41
265_30_R18,265,30,18,9.5,J,30,P.41
265_30_R18,265,30,18,10,J,30,P.41
265_30_R19,265,30,19,9,J,30,P.41
265_30_R19,265,30,19,9.5,J,30,P.41
265_30_R19,265,30,19,10,J,30,P.41
265_30_R20,265,30,20,9,J,30,P.41
265_30_R20,265,30,20,9.5,J,30,P.41
265_30_R20,265,30,20,10,J,30,P.41
265_30_R21,265,30,21,9,J,30,P.41
265_30_R21,265,30,21,9.5,J,30,P.41
265_30_R21,265,30,21,10,J,30,P.41
265_30_R22,265,30,22,9,J,30,P.41
265_30_R22,265,30,22,9.5,J,30,P.41
265_30_R22,265,30,22,10,J,30,P.41
275_30_R19,275,30,19,9,J,30,P.41
275_30_R19,275,30,19,9.5,J,30,P.41
275_30_R19,275,30,19,10,J,30,P.41
275_30_R20,275,30,20,9,J,30,P.41
275_30_R20,275,30,20,9.5,J,30,P.41
275_30_R20,275,30,20,10,J,30,P.41
275_30_R21,275,30,21,9,J,30,P.41
275_30_R21,275,30,21,9.5,J,30,P.41
275_30_R21,275,30,21,10,J,30,P.41
275_30_R22,275,30,22,9,J,30,P.41
275_30_R22,275,30,22,9.5,J,30,P.41
275_30_R22,275,30,22,10,J,30,P.41
275_30_R23,275,30,23,9,J,30,P.41
275_30_R23,275,30,23,9.5,J,30,P.41
275_30_R23,275,30,23,10,J,30,P.41
275_30_R24,275,30,24,9,J,30,P.41
275_30_R24,275,30,24,9.5,J,30,P.41
275_30_R24,275,30,24,10,J,30,P.41
285_30_R18,285,30,18,9.5,J,30,P.41
285_30_R18,285,30,18,10,J,30,P.41
285_30_R18,285,30,18,10.5,J,30,P.41
285_30_R19,285,30,19,9.5,J,30,P.41
285_30_R19,285,30,19,10,J,30,P.41
285_30_R19,285,30,19,10.5,J,30,P.41
285_30_R20,285,30,20,9.5,J,30,P.41
285_30_R20,285,30,20,10,J,30,P.41
285_30_R20,285,30,20,10.5,J,30,P.41
285_30_R21,285,30,21,9.5,J,30,P.41
285_30_R21,285,30,21,10,J,30,P.41
285_30_R21,285,30,21,10.5,J,30,P.41
285_30_R22,285,30,22,9.5,J,30,P.41
285_30_R22,285,30,22,10,J,30,P.41
285_30_R22,285,30,22,10.5,J,30,P.41
285_30_R24,285,30,24,9.5,J,30,P.41
285_30_R24,285,30,24,10,J,30,P.41
285_30_R24,285,30,24,10.5,J,30,P.41
295_30_R18,295,30,18,10,J,30,P.41
