size_key,designation,width_mm,aspect_ratio,construction,rim_diameter_in,approved_rim_width_in,rim_contour,series,source_page
T_195_55_D20,T 195/55 D20,195,55,D,20,5.5,J,55,P.51
T_195_55_D20,T 195/55 D20,195,55,D,20,6,J,55,P.51
T_195_55_D20,T 195/55 D20,195,55,D,20,6.5,J,55,P.51
T_195_55_D20,T 195/55 D20,195,55,D,20,7,J,55,P.51
T_195_65_D21,T 195/65 D21,195,65,D,21,5.5,J,65,P.51
T_195_65_D21,T 195/65 D21,195,65,D,21,6,J,65,P.51
T_195_65_D21,T 195/65 D21,195,65,D,21,6.5,J,65,P.51
T_195_65_D21,T 195/65 D21,195,65,D,21,7,J,65,P.51
T_125_70_D18,T 125/70 D18,125,70,D,18,3,J,70,P.51
T_125_70_D18,T 125/70 D18,125,70,D,18,3.5,J,70,P.51
T_125_70_D18,T 125/70 D18,125,70,D,18,4,J,70,P.51
T_185_70_D19,T 185/70 D19,185,70,D,19,4.5,J,70,P.51
T_185_70_D19,T 185/70 D19,185,70,D,19,5,J,70,P.51
T_185_70_D19,T 185/70 D19,185,70,D,19,5.5,J,70,P.51
T_185_70_D19,T 185/70 D19,185,70,D,19,6,J,70,P.51
T_195_70_D20,T 195/70 D20,195,70,D,20,5,J,70,P.51
T_195_70_D20,T 195/70 D20,195,70,D,20,5.5,J,70,P.51
T_195_70_D20,T 195/70 D20,195,70,D,20,6,J,70,P.51
T_195_70_D20,T 195/70 D20,195,70,D,20,6.5,J,70,P.51
T_135_90_D17,T 135/90 D17,135,90,D,17,3.5,J,90,P.51
T_135_90_D17,T 135/90 D17,135,90,D,17,4,J,90,P.51
T_135_90_D17,T 135/90 D17,135,90,D,17,4.5,J,90,P.51
T_155_90_D16,T 155/90 D16,155,90,D,16,4,J,90,P.51
T_155_90_D16,T 155/90 D16,155,90,D,16,4.5,J,90,P.51
T_155_90_D16,T 155/90 D16,155,90,D,16,5,J,90,P.51
T_165_90_D19,T 165/90 D19,165,90,D,19,4,J,90,P.51
T_165_90_D19,T 165/90 D19,165,90,D,19,4.5,J,90,P.51
T_165_90_D19,T 165/90 D19,165,90,D,19,5,J,90,P.51
T_165_90_D19,T 165/90 D19,165,90,D,19,5.5,J,90,P.51
T_125_60_R18,T 125/60 R18,125,60,R,18,3.5,J,60,P.51
T_125_60_R18,T 125/60 R18,125,60,R,18,4,J,60,P.51
T_125_60_R18,T 125/60 R18,125,60,R,18,4.5,J,60,P.51
