external_id,source_sku,ean,brand,model,size_text,season,width_mm,aspect_ratio,diameter_in,load_index,speed_index,stock_qty,wholesale_price_eur,consumer_price_eur,eprel_code,label_json,image_url,first_seen_at,last_seen_at,is_available
165987,T1955516BRIDGESTOVRDOT,NULL,Bridgestone,Noranza TARJOUS!,195/55-16,winter,195.00,55.00,16.00,91,T,20,63.71,79.64,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/bridgestone_noranza_001_nastarengas_dubbdack_dubbdekk.jpg,2026-04-26 01:25:41.650376+00,2026-04-26 01:39:06.174+00,true
167082,T2154517CONTINENTVRDOT,NULL,Continental,IceContact 3,215/45-17,winter,215.00,45.00,17.00,91,T,16,114.71,143.39,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/continental_icecontact_3_nastarengas_dubbdack_dubbdekk.jpg,2026-04-26 01:25:42.054793+00,2026-04-26 01:39:06.174+00,true
167083,T2254018CONTINENTVRDOT,NULL,Continental,IceContact 3 TARJOUS!,225/40-18,winter,225.00,40.00,18.00,92,T,18,101.96,127.45,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/continental_icecontact_3_nastarengas_dubbdack_dubbdekk.jpg,2026-04-26 01:25:42.054793+00,2026-04-26 01:39:06.174+00,true
108779,ATV27914ATLAS,6970601282157,Forerunner,ATLAS mönkijän rengas,27x9-14,summer,9.00,NULL,14.00,49,F,20,62.83,78.05,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/atlas.jpg,2026-04-26 01:25:41.181365+00,2026-04-26 01:39:06.174+00,true
108780,ATV271114ATLAS,6970601282164,Forerunner,ATLAS mönkijän rengas,27x11-14,summer,11.00,NULL,14.00,55,F,20,68.57,85.22,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/atlas.jpg,2026-04-26 01:25:41.181365+00,2026-04-26 01:39:06.174+00,true
155526,ATV27914ATLAS,6438431051928,Forerunner,ATLAS mönkijän rengas Winter,27x9-14,winter,9.00,NULL,14.00,49,F,20,85.14,105.94,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/forerunner_atlas_nastoilla.jpg,2026-04-26 01:25:41.650376+00,2026-04-26 01:39:06.174+00,true
155525,ATV271114ATLAS,6438431051911,Forerunner,ATLAS mönkijän rengas Winter,27x11-14,winter,11.00,NULL,14.00,55,F,20,90.88,113.11,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/forerunner_atlas_nastoilla.jpg,2026-04-26 01:25:41.650376+00,2026-04-26 01:39:06.174+00,true
91760,ATV25812KNIGHT,6970601280252,Forerunner,KNIGHT mönkijän rengas,25x8-12,summer,8.00,NULL,12.00,43,F,20,46.26,57.33,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/knight.jpg,2026-04-26 01:25:41.181365+00,2026-04-26 01:39:06.174+00,true
91762,ATV26912KNIGHT,6970601281051,Forerunner,KNIGHT mönkijän rengas,26x9-12,summer,9.00,NULL,12.00,49,F,20,52.00,64.50,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/knight.jpg,2026-04-26 01:25:41.181365+00,2026-04-26 01:39:06.174+00,true
108772,ATV261114KNIGHT,6970601280771,Forerunner,KNIGHT mönkijän rengas,26x11-14,summer,11.00,NULL,14.00,54,F,4,64.11,79.64,NULL,map[EprelCode: IceClass: LabelImage: LabelType: NoiseClass: NoiseValuedB: Plant: RRC: RegisterCode: SnowClass: WetGrip:],https://images.vannetukku.fi/images/knight.jpg,2026-04-26 01:25:41.181365+00,2026-04-26 01:39:06.174+00,true
